36	54	30	24	54	36	42	54	54	18	
54	145	117	44	105	118	111	129	97	59	
30	117	110	45	88	120	91	105	79	67	
24	44	45	90	124	116	57	69	114	89	
54	105	88	124	267	186	188	154	203	140	
36	118	120	116	186	199	134	137	168	142	
42	111	91	57	188	134	260	180	194	162	
54	129	105	69	154	137	180	211	178	142	
54	97	79	114	203	168	194	178	297	234	
18	59	67	89	140	142	162	142	234	243	

12.682	-10.0311	1.67975	-11.1157	-0.207543	9.84929	-1.02657	0.58245	-0.703936	0.490074	
-10.031	8.3837	-2.3291	8.16544	0.126768	-7.00354	0.706853	-0.408448	0.472385	-0.308839	
1.67953	-2.32893	2.73175	0.252111	0.0688492	-0.816604	0.147633	-0.103744	0.0671793	-0.0694463	
-11.1158	8.16564	0.251891	11.1308	0.206515	-10.2056	1.14703	-0.65668	0.687658	-0.503686	
-0.207555	0.126779	0.0688446	0.206524	0.0406572	-0.24265	0.00584033	-0.0141893	0.0118774	0.00130274	
9.84947	-7.00376	-0.816402	-10.2057	-0.242643	9.54642	-1.05553	0.621531	-0.648798	0.460375	
-1.0266	0.706878	0.147611	1.14704	0.00583961	-1.05553	0.144447	-0.0779023	0.069254	-0.0604119	
0.582464	-0.408463	-0.103731	-0.656686	-0.0141889	0.621533	-0.0779024	0.0630579	-0.041323	0.0249973	
-0.703953	0.472403	0.0671655	0.687665	0.011877	-0.648802	0.0692543	-0.0413231	0.0829046	-0.0624972	
0.490088	-0.308854	-0.0694365	-0.503694	0.00130296	0.460379	-0.0604123	0.0249975	-0.0624974	0.062498	
